,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
214,robe,93,,1650594869,53,-37.1833,139.75,60.53,15.01
215,kargasok,100,,1650594728,88,59.0556,80.8572,16.56,19.1
216,mount gambier,100,,1650594869,58,-37.8333,140.7667,57.11,11.5
217,teya,100,,1650594869,94,60.3778,92.6267,37.29,6.29
218,palmer,100,,1650594849,64,42.1584,-72.3287,51.35,9.22
219,kruisfontein,77,,1650594870,95,-34.0033,24.7314,56.88,9.6
220,hofn,32,,1650594607,81,64.2539,-15.2082,44.71,6.42
221,husavik,38,,1650594870,83,66.0449,-17.3389,42.01,9.28
222,pankrushikha,100,,1650594871,58,53.8319,80.3406,30.42,19.3
223,port blair,75,,1650594616,63,11.6667,92.75,87.28,2.53
224,puerto escondido,100,,1650594728,69,15.85,-97.0667,83.23,0
225,donskoye,38,,1650594871,85,45.4552,41.9741,44.73,13
226,lata,100,,1650594871,92,40.1629,-8.3327,51.08,7.52
227,pout,0,,1650594872,73,14.7739,-17.0603,70.56,21.85
228,wellington,40,,1650594721,72,-41.2866,174.7756,64.06,11.5
229,tefe,98,,1650594872,93,-3.3542,-64.7114,74.41,0.83
231,taltal,6,,1650594873,83,-25.4,-70.4833,63.68,6.11
232,kloulklubed,81,,1650594873,76,7.0419,134.2556,82.9,16.89
234,chetumal,3,,1650594709,80,18.5,-88.3,77.92,10.87
235,vila velha,20,,1650594767,91,-20.3297,-40.2925,72.95,2.3
236,aklavik,69,,1650594448,80,68.2191,-135.0107,18.54,5.28
237,chokurdakh,100,,1650594934,91,70.6333,147.9167,15.73,3.94
238,cabo san lucas,0,,1650594934,54,22.8909,-109.9124,80.91,13.8
239,san jose,75,,1650594923,66,37.3394,-121.895,58.87,11.5
240,atuona,12,,1650594934,80,-9.8,-139.0333,79.23,15.08
241,vila franca do campo,98,,1650594596,70,37.7167,-25.4333,55.81,17.29
242,labuhan,92,,1650594935,72,-6.8844,112.2051,84.15,4.9
243,capelinha,14,,1650594935,85,-17.6914,-42.5158,59.63,1.5
244,saint-philippe,50,,1650594936,87,-21.3585,55.7679,74.79,11.07
245,sinop,76,,1650594936,75,41.7711,34.8709,41.07,8.48
246,aqtobe,40,,1650594936,82,50.2797,57.2072,51.89,13.42
247,shinpokh,100,,1650594936,47,34.3292,71.1782,67.41,2.8
248,yumen,90,,1650594937,10,40.2833,97.2,62.74,2.62
249,kumluca,0,,1650594937,56,36.3703,30.2869,61.77,2.66
250,mananara,100,,1650594937,95,-16.1667,49.7667,74.55,5.08
253,sola,82,,1650594938,67,-13.8833,167.55,83.34,3.11
254,tiksi,99,,1650594452,91,71.6872,128.8694,18.36,6.4
255,huarmey,89,,1650594938,84,-10.0681,-78.1522,68.34,10.2
256,lagoa,100,,1650594939,65,39.05,-27.9833,56.44,22.39
257,bengkulu,67,,1650594445,68,-3.8004,102.2655,82.54,2.1
258,harper,100,,1650594939,85,4.375,-7.7169,77.9,3.62
259,porto santo,40,,1650594939,67,33.072,-16.3415,61.18,18.41
260,mulanje,100,,1650594940,99,-16.0316,35.5,67.44,3.87
261,caravelas,0,,1650594940,79,-17.7125,-39.2481,73.0,4.61
262,ryotsu,56,,1650594530,86,38.0833,138.4333,57.97,9.75
264,kudat,20,,1650594940,79,6.8837,116.8477,86.29,5.99
265,saint anthony,0,,1650594444,60,45.0205,-93.218,50.94,3.44
266,aykhal,96,,1650594799,82,66,111.5,16.09,7.74
267,kaneohe,75,,1650594764,73,21.4181,-157.8036,78.39,20.71
268,te anau,87,,1650594451,57,-45.4167,167.7167,51.35,3.89
269,waipawa,14,,1650594941,70,-41.4122,175.5153,56.66,17.09
270,ostrovnoy,100,,1650594941,100,68.0531,39.5131,34.34,2.59
271,whitehorse,40,,1650594942,38,60.7161,-135.0538,44.02,13.8
272,grand gaube,99,,1650594602,83,-20.0064,57.6608,76.37,1.01
273,mahibadhoo,84,,1650594942,75,3.7833,72.9667,83.73,9.91
274,togur,100,,1650594943,91,58.3631,82.8265,19.17,17.72
275,tiznit,10,,1650594943,82,29.5833,-9.5,52.36,4.14
276,hat yai,20,,1650594915,74,7.0084,100.4767,86.18,0
277,coihaique,95,,1650594943,97,-45.5752,-72.0662,43.41,4.94
278,itupiranga,99,,1650594944,97,-5.1347,-49.3267,73.04,0.74
279,los llanos de aridane,100,,1650594944,84,28.6585,-17.9182,60.55,3.44
281,pekan,99,,1650594944,73,3.4836,103.3996,84.31,4.5
282,baragua,13,,1650594945,84,21.6967,-78.6328,74.23,11.83
283,saskylakh,100,,1650594945,91,71.9167,114.0833,14.0,6.67
284,lincoln,100,,1650594876,54,40.8,-96.667,66.11,17.27
285,lasa,100,,1650594531,92,46.6166,10.7002,45.48,2.04
286,gamba,76,,1650594945,93,-2.65,10,76.87,1.16
287,mpongwe,100,,1650594946,97,-13.5091,28.155,61.14,4.36
288,rosoman,100,,1650595006,88,41.5161,21.9497,48.99,2.48
289,sioux lookout,100,,1650595007,64,50.1001,-91.917,33.87,2.3
290,salalah,20,,1650594456,78,17.0151,54.0924,80.69,3.44
291,east london,100,,1650594901,79,-33.0153,27.9116,69.93,11.63
292,pathalgaon,8,,1650595007,33,22.5667,83.4667,89.82,5.46
293,kavieng,64,,1650595007,67,-2.5744,150.7967,85.78,13.82
294,hualmay,52,,1650595008,87,-11.0964,-77.6139,67.19,10.02
297,kirakira,91,,1650595008,70,-10.4544,161.9205,84.97,5.73
298,ranong,79,,1650595009,68,9.9658,98.6348,80.53,2.91
300,paragominas,100,,1650595009,99,-2.9667,-47.4833,71.69,2.3
302,kargat,98,,1650595009,52,55.1956,80.2811,25.59,22.57
303,iqaluit,75,,1650595010,72,63.7506,-68.5145,6.53,0
304,klaksvik,61,,1650594594,90,62.2266,-6.589,45.52,15.26
305,matara,90,,1650595010,80,5.9485,80.5353,82.53,3.36
306,altamira,98,,1650595010,97,-3.2033,-52.2064,71.87,1.48
307,kristinehamn,3,,1650595011,79,59.3098,14.1081,34.36,6.02
308,bairiki,40,,1650595011,74,1.3292,172.9752,86.0,12.66
309,hammerfest,100,,1650595011,93,70.6634,23.6821,37.85,9.22
310,esmeraldas,2,,1650595012,65,-19.7625,-44.3139,72.46,2.51
311,kondinskoye,47,,1650595012,80,59.6481,67.41,16.29,11.43
312,isangel,73,,1650594606,72,-19.55,169.2667,82.04,8.59
313,tarsus,100,,1650594780,83,36.9188,34.8784,51.67,1.3
314,vanavara,37,,1650595012,57,60.34,102.2797,35.38,7.05
315,geraldton,0,,1650595013,31,-28.7667,114.6,79.21,23.02
316,clyde river,100,,1650595013,84,70.4692,-68.5914,-1.97,10.36
317,sitka,40,,1650595013,66,57.0531,-135.33,48.09,8.05
318,la ronge,0,,1650595014,33,55.1001,-105.2842,41.25,5.75
320,cowra,86,,1650595014,46,-33.8333,148.6833,70.32,10.16
321,arcata,20,,1650594941,76,40.8665,-124.0828,54.21,11.5
322,bom conselho,33,,1650595015,98,-9.1697,-36.6797,66.2,3.04
324,touros,96,,1650594797,88,-5.1989,-35.4608,77.52,9.33
